id,src,dst,cas,time,pub_time,label,type,abs_time
2669,0,0,1027,0.0,29.268493150684932,-1,1,29.268493150684932
2698,1,1,1038,0.0,29.435616438356163,-1,1,29.435616438356163
710216,1,2,1038,0.2465753424657534,29.435616438356163,-1,1,29.682191780821917
2741,3,3,1051,0.0,29.767123287671232,-1,1,29.767123287671232
2747,4,4,1052,0.0,29.84931506849315,-1,3,29.84931506849315
2760,5,5,1058,0.0,29.934246575342467,-1,2,29.934246575342467
769694,4,6,1052,0.336986301369863,29.84931506849315,-1,3,30.186301369863013
888932,3,7,1051,0.5013698630136987,29.767123287671232,-1,1,30.268493150684932
893559,4,8,1052,0.5041095890410959,29.84931506849315,-1,3,30.353424657534248
4190537,209693,218313,1580,4.96986301369863,104.52602739726028,23,3,109.4958904109589
4175199,214246,218315,1696,4.934246575342466,104.56438356164384,22,1,109.4986301369863
4191619,217692,218314,1524,4.972602739726027,104.52602739726028,39,3,109.4986301369863
4191620,201838,218316,1535,4.972602739726027,104.52602739726028,38,3,109.4986301369863
4183980,218156,218317,1646,4.956164383561644,104.54520547945205,71,2,109.5013698630137
4196747,216505,218318,1625,4.986301369863014,104.52602739726028,10,2,109.5123287671233
4198031,202579,218319,1559,4.989041095890411,104.52602739726028,62,1,109.51506849315068
4189274,180586,218321,1691,4.967123287671233,104.56438356164384,60,3,109.53150684931506
4189275,214590,218320,1705,4.967123287671233,104.56438356164384,39,1,109.53150684931506
4200976,180606,218322,1709,4.997260273972603,104.56438356164384,17,1,109.56164383561644
